Datetime,Adj Close,Close,High,Low,Open,Volume
2022-02-07 00:00:00+00:00,,,,,,
2022-02-07 00:01:00+00:00,,,,,,
2022-02-07 00:02:00+00:00,,,,,,
2022-02-07 00:03:00+00:00,,,,,,
2022-02-07 00:04:00+00:00,,,,,,
2022-02-07 00:05:00+00:00,,,,,,
2022-02-07 00:06:00+00:00,,,,,,
2022-02-07 00:07:00+00:00,,,,,,
2022-02-07 00:08:00+00:00,,,,,,
2022-02-07 00:09:00+00:00,,,,,,
2022-02-07 00:10:00+00:00,,,,,,
2022-02-07 00:11:00+00:00,,,,,,
2022-02-07 00:12:00+00:00,,,,,,
2022-02-07 00:13:00+00:00,,,,,,
2022-02-07 00:14:00+00:00,,,,,,
2022-02-07 00:15:00+00:00,,,,,,
2022-02-07 00:16:00+00:00,,,,,,
2022-02-07 00:17:00+00:00,,,,,,
2022-02-07 00:18:00+00:00,,,,,,
2022-02-07 00:19:00+00:00,,,,,,
2022-02-07 00:20:00+00:00,,,,,,
2022-02-07 00:21:00+00:00,,,,,,
2022-02-07 00:22:00+00:00,,,,,,
2022-02-07 00:23:00+00:00,,,,,,
2022-02-07 00:24:00+00:00,,,,,,
2022-02-07 00:25:00+00:00,,,,,,
2022-02-07 00:26:00+00:00,,,,,,
2022-02-07 00:27:00+00:00,,,,,,
2022-02-07 00:28:00+00:00,,,,,,
2022-02-07 00:29:00+00:00,,,,,,
2022-02-07 00:30:00+00:00,,,,,,
2022-02-07 00:31:00+00:00,,,,,,
2022-02-07 00:32:00+00:00,,,,,,
2022-02-07 00:33:00+00:00,,,,,,
2022-02-07 00:34:00+00:00,,,,,,
2022-02-07 00:35:00+00:00,,,,,,
2022-02-07 00:36:00+00:00,,,,,,
2022-02-07 00:37:00+00:00,,,,,,
2022-02-07 00:38:00+00:00,,,,,,
2022-02-07 00:39:00+00:00,,,,,,
2022-02-07 00:40:00+00:00,,,,,,
2022-02-07 00:41:00+00:00,,,,,,
2022-02-07 00:42:00+00:00,,,,,,
2022-02-07 00:43:00+00:00,,,,,,
2022-02-07 00:44:00+00:00,,,,,,
2022-02-07 00:45:00+00:00,,,,,,
2022-02-07 00:46:00+00:00,,,,,,
2022-02-07 00:47:00+00:00,,,,,,
2022-02-07 00:48:00+00:00,,,,,,
2022-02-07 00:49:00+00:00,,,,,,
2022-02-07 00:50:00+00:00,,,,,,
2022-02-07 00:51:00+00:00,,,,,,
2022-02-07 00:52:00+00:00,,,,,,
2022-02-07 00:53:00+00:00,,,,,,
2022-02-07 00:54:00+00:00,,,,,,
2022-02-07 00:55:00+00:00,,,,,,
2022-02-07 00:56:00+00:00,,,,,,
2022-02-07 00:57:00+00:00,,,,,,
2022-02-07 00:58:00+00:00,,,,,,
2022-02-07 00:59:00+00:00,,,,,,
2022-02-07 01:00:00+00:00,,,,,,
2022-02-07 01:01:00+00:00,,,,,,
2022-02-07 01:02:00+00:00,,,,,,
2022-02-07 01:03:00+00:00,,,,,,
2022-02-07 01:04:00+00:00,,,,,,
2022-02-07 01:05:00+00:00,,,,,,
2022-02-07 01:06:00+00:00,,,,,,
2022-02-07 01:07:00+00:00,,,,,,
2022-02-07 01:08:00+00:00,,,,,,
2022-02-07 01:09:00+00:00,,,,,,
2022-02-07 01:10:00+00:00,,,,,,
2022-02-07 01:11:00+00:00,,,,,,
2022-02-07 01:12:00+00:00,,,,,,
2022-02-07 01:13:00+00:00,,,,,,
2022-02-07 01:14:00+00:00,,,,,,
2022-02-07 01:15:00+00:00,,,,,,
2022-02-07 01:16:00+00:00,,,,,,
2022-02-07 01:17:00+00:00,,,,,,
2022-02-07 01:18:00+00:00,,,,,,
2022-02-07 01:19:00+00:00,,,,,,
2022-02-07 01:20:00+00:00,,,,,,
2022-02-07 01:21:00+00:00,74.63999938964844,74.63999938964844,74.63999938964844,74.63999938964844,74.63999938964844,0.0
2022-02-07 01:22:00+00:00,,,,,,
2022-02-07 01:23:00+00:00,74.63999938964844,74.63999938964844,74.63999938964844,74.63999938964844,74.63999938964844,0.0
2022-02-07 01:24:00+00:00,,,,,,
2022-02-07 01:25:00+00:00,,,,,,
2022-02-07 01:26:00+00:00,,,,,,
2022-02-07 01:27:00+00:00,,,,,,
2022-02-07 01:28:00+00:00,,,,,,
2022-02-07 01:29:00+00:00,,,,,,
2022-02-07 01:30:00+00:00,,,,,,
2022-02-07 01:31:00+00:00,,,,,,
2022-02-07 01:32:00+00:00,,,,,,
2022-02-07 01:33:00+00:00,,,,,,
2022-02-07 01:34:00+00:00,74.63999938964844,74.63999938964844,74.63999938964844,74.63999938964844,74.63999938964844,0.0
2022-02-07 01:35:00+00:00,,,,,,
2022-02-07 01:36:00+00:00,,,,,,
2022-02-07 01:37:00+00:00,,,,,,
2022-02-07 01:38:00+00:00,,,,,,
2022-02-07 01:39:00+00:00,,,,,,
2022-02-07 01:40:00+00:00,,,,,,
2022-02-07 01:41:00+00:00,,,,,,
2022-02-07 01:42:00+00:00,,,,,,
2022-02-07 01:43:00+00:00,,,,,,
2022-02-07 01:44:00+00:00,,,,,,
2022-02-07 01:45:00+00:00,,,,,,
2022-02-07 01:46:00+00:00,,,,,,
2022-02-07 01:47:00+00:00,,,,,,
2022-02-07 01:48:00+00:00,,,,,,
2022-02-07 01:49:00+00:00,,,,,,
2022-02-07 01:50:00+00:00,,,,,,
2022-02-07 01:51:00+00:00,,,,,,
2022-02-07 01:52:00+00:00,,,,,,
2022-02-07 01:53:00+00:00,,,,,,
2022-02-07 01:54:00+00:00,,,,,,
2022-02-07 01:55:00+00:00,,,,,,
2022-02-07 01:56:00+00:00,,,,,,
2022-02-07 01:57:00+00:00,,,,,,
2022-02-07 01:58:00+00:00,,,,,,
2022-02-07 01:59:00+00:00,,,,,,
2022-02-07 02:00:00+00:00,,,,,,
2022-02-07 02:01:00+00:00,,,,,,
2022-02-07 02:02:00+00:00,74.66999816894531,74.66999816894531,74.66999816894531,74.66999816894531,74.66999816894531,0.0
2022-02-07 02:03:00+00:00,74.64399719238281,74.64399719238281,74.64399719238281,74.64399719238281,74.64399719238281,0.0
2022-02-07 02:04:00+00:00,74.63200378417969,74.63200378417969,74.65399932861328,74.63200378417969,74.65399932861328,0.0
2022-02-07 02:05:00+00:00,,,,,,
2022-02-07 02:06:00+00:00,,,,,,
2022-02-07 02:07:00+00:00,,,,,,
2022-02-07 02:08:00+00:00,,,,,,
2022-02-07 02:09:00+00:00,,,,,,
2022-02-07 02:10:00+00:00,,,,,,
2022-02-07 02:11:00+00:00,,,,,,
2022-02-07 02:12:00+00:00,,,,,,
2022-02-07 02:13:00+00:00,,,,,,
2022-02-07 02:14:00+00:00,,,,,,
2022-02-07 02:15:00+00:00,,,,,,
2022-02-07 02:16:00+00:00,,,,,,
2022-02-07 02:17:00+00:00,,,,,,
2022-02-07 02:18:00+00:00,,,,,,
2022-02-07 02:19:00+00:00,,,,,,
2022-02-07 02:20:00+00:00,,,,,,
2022-02-07 02:21:00+00:00,,,,,,
2022-02-07 02:22:00+00:00,,,,,,
2022-02-07 02:23:00+00:00,,,,,,
2022-02-07 02:24:00+00:00,,,,,,
2022-02-07 02:25:00+00:00,,,,,,
2022-02-07 02:26:00+00:00,74.63200378417969,74.63200378417969,74.63200378417969,74.63200378417969,74.63200378417969,0.0
2022-02-07 02:27:00+00:00,74.63200378417969,74.63200378417969,74.63200378417969,74.63200378417969,74.63200378417969,0.0
2022-02-07 02:28:00+00:00,,,,,,
2022-02-07 02:29:00+00:00,,,,,,
2022-02-07 02:30:00+00:00,,,,,,
2022-02-07 02:31:00+00:00,,,,,,
2022-02-07 02:32:00+00:00,,,,,,
2022-02-07 02:33:00+00:00,74.63200378417969,74.63200378417969,74.63200378417969,74.63200378417969,74.63200378417969,0.0
2022-02-07 02:34:00+00:00,,,,,,
2022-02-07 02:35:00+00:00,,,,,,
2022-02-07 02:36:00+00:00,,,,,,
2022-02-07 02:37:00+00:00,,,,,,
2022-02-07 02:38:00+00:00,,,,,,
2022-02-07 02:39:00+00:00,,,,,,
2022-02-07 02:40:00+00:00,,,,,,
2022-02-07 02:41:00+00:00,,,,,,
2022-02-07 02:42:00+00:00,,,,,,
2022-02-07 02:43:00+00:00,,,,,,
2022-02-07 02:44:00+00:00,,,,,,
2022-02-07 02:45:00+00:00,,,,,,
2022-02-07 02:46:00+00:00,,,,,,
2022-02-07 02:47:00+00:00,74.6729965209961,74.6729965209961,74.6729965209961,74.65899658203125,74.65899658203125,0.0
2022-02-07 02:48:00+00:00,,,,,,
2022-02-07 02:49:00+00:00,,,,,,
2022-02-07 02:50:00+00:00,,,,,,
2022-02-07 02:51:00+00:00,,,,,,
2022-02-07 02:52:00+00:00,,,,,,
2022-02-07 02:53:00+00:00,,,,,,
2022-02-07 02:54:00+00:00,,,,,,
2022-02-07 02:55:00+00:00,,,,,,
2022-02-07 02:56:00+00:00,,,,,,
2022-02-07 02:57:00+00:00,74.64399719238281,74.64399719238281,74.66799926757812,74.64399719238281,74.66799926757812,0.0
2022-02-07 02:58:00+00:00,,,,,,
2022-02-07 02:59:00+00:00,,,,,,
2022-02-07 03:00:00+00:00,,,,,,
2022-02-07 03:01:00+00:00,,,,,,
2022-02-07 03:02:00+00:00,,,,,,
2022-02-07 03:03:00+00:00,,,,,,
2022-02-07 03:04:00+00:00,,,,,,
2022-02-07 03:05:00+00:00,,,,,,
2022-02-07 03:06:00+00:00,,,,,,
2022-02-07 03:07:00+00:00,74.64299774169922,74.64299774169922,74.64299774169922,74.64299774169922,74.64299774169922,0.0
2022-02-07 03:08:00+00:00,,,,,,
2022-02-07 03:09:00+00:00,,,,,,
2022-02-07 03:10:00+00:00,,,,,,
2022-02-07 03:11:00+00:00,,,,,,
2022-02-07 03:12:00+00:00,74.69000244140625,74.69000244140625,74.69000244140625,74.68900299072266,74.68900299072266,0.0
2022-02-07 03:13:00+00:00,74.71099853515625,74.71099853515625,74.71099853515625,74.71099853515625,74.71099853515625,0.0
2022-02-07 03:14:00+00:00,74.72599792480469,74.72599792480469,74.72599792480469,74.72599792480469,74.72599792480469,0.0
2022-02-07 03:15:00+00:00,,,,,,
2022-02-07 03:16:00+00:00,,,,,,
2022-02-07 03:17:00+00:00,,,,,,
2022-02-07 03:18:00+00:00,74.70700073242188,74.70700073242188,74.70700073242188,74.70700073242188,74.70700073242188,0.0
2022-02-07 03:19:00+00:00,,,,,,
2022-02-07 03:20:00+00:00,,,,,,
2022-02-07 03:21:00+00:00,,,,,,
2022-02-07 03:22:00+00:00,74.72599792480469,74.72599792480469,74.72599792480469,74.72599792480469,74.72599792480469,0.0
