Symbol,Name
AUDUSD=X,AUD/USD
CNY=X,USD/CNY
EURCAD=X,EUR/CAD
EURCHF=X,EUR/CHF
EURGBP=X,EUR/GBP
EURHUF=X,EUR/HUF
EURJPY=X,EUR/JPY
EURJPY=X,EUR/JPY
EURSEK=X,EUR/SEK
EURUSD=X,EUR/USD
GBPJPY=X,GBP/JPY
GBPUSD=X,GBP/USD
HKD=X,USD/HKD
IDR=X,USD/IDR
INR=X,USD/INR
JPY=X,USD/JPY
MXN=X,USD/MXN
MYR=X,USD/MYR
NZDUSD=X,NZD/USD
PHP=X,USD/PHP
RUB=X,USD/RUB
SGD=X,USD/SGD
THB=X,USD/THB
ZAR=X,USD/ZAR
